end_time,value
2023-06-25T07:00:00+0000,0.0
2023-06-26T07:00:00+0000,0.0
2023-06-23T07:00:00+0000,4.0
2023-06-24T07:00:00+0000,0.0
2023-06-21T07:00:00+0000,8.0
2023-06-22T07:00:00+0000,4.0
2023-06-19T07:00:00+0000,6.0
2023-06-20T07:00:00+0000,4.0
2023-06-17T07:00:00+0000,4.0
2023-06-18T07:00:00+0000,1.0
2023-06-15T07:00:00+0000,1.0
2023-06-16T07:00:00+0000,4.0
2023-06-13T07:00:00+0000,4.0
2023-06-14T07:00:00+0000,15.0
2023-06-11T07:00:00+0000,4.0
2023-06-12T07:00:00+0000,1.0
2023-06-09T07:00:00+0000,5.0
2023-06-10T07:00:00+0000,1.0
2023-06-07T07:00:00+0000,2.0
2023-06-08T07:00:00+0000,3.0
2023-06-05T07:00:00+0000,7.0
2023-06-06T07:00:00+0000,4.0
2023-06-03T07:00:00+0000,1.0
2023-06-04T07:00:00+0000,2.0
2023-06-01T07:00:00+0000,4.0
2023-06-02T07:00:00+0000,8.0
2023-05-30T07:00:00+0000,3.0
2023-05-31T07:00:00+0000,4.0
2023-05-28T07:00:00+0000,2.0
2023-05-29T07:00:00+0000,4.0
2023-05-26T07:00:00+0000,6.0
2023-05-27T07:00:00+0000,5.0
2023-05-24T07:00:00+0000,1.0
2023-05-25T07:00:00+0000,5.0
2023-05-22T07:00:00+0000,2.0
2023-05-23T07:00:00+0000,2.0
2023-05-20T07:00:00+0000,4.0
2023-05-21T07:00:00+0000,5.0
2023-05-18T07:00:00+0000,7.0
2023-05-19T07:00:00+0000,4.0
2023-05-16T07:00:00+0000,6.0
2023-05-17T07:00:00+0000,1.0
2023-05-14T07:00:00+0000,5.0
2023-05-15T07:00:00+0000,4.0
2023-05-12T07:00:00+0000,2.0
2023-05-13T07:00:00+0000,0.0
2023-05-10T07:00:00+0000,0.0
2023-05-11T07:00:00+0000,5.0
2023-05-08T07:00:00+0000,0.0
2023-05-09T07:00:00+0000,0.0
2023-05-06T07:00:00+0000,0.0
2023-05-07T07:00:00+0000,0.0
2023-05-04T07:00:00+0000,0.0
2023-05-05T07:00:00+0000,0.0
2023-05-02T07:00:00+0000,0.0
2023-05-03T07:00:00+0000,0.0
2023-04-30T07:00:00+0000,0.0
2023-05-01T07:00:00+0000,0.0
2023-04-28T07:00:00+0000,0.0
2023-04-29T07:00:00+0000,0.0
2023-04-26T07:00:00+0000,0.0
2023-04-27T07:00:00+0000,0.0
2023-04-24T07:00:00+0000,0.0
2023-04-25T07:00:00+0000,0.0
2023-04-22T07:00:00+0000,0.0
2023-04-23T07:00:00+0000,0.0
2023-04-20T07:00:00+0000,0.0
2023-04-21T07:00:00+0000,0.0
2023-04-18T07:00:00+0000,0.0
2023-04-19T07:00:00+0000,0.0
2023-04-16T07:00:00+0000,0.0
2023-04-17T07:00:00+0000,0.0
2023-04-14T07:00:00+0000,0.0
2023-04-15T07:00:00+0000,0.0
2023-04-12T07:00:00+0000,0.0
2023-04-13T07:00:00+0000,0.0
2023-04-10T07:00:00+0000,0.0
2023-04-11T07:00:00+0000,0.0
2023-04-08T07:00:00+0000,0.0
2023-04-09T07:00:00+0000,0.0
2023-04-06T07:00:00+0000,0.0
2023-04-07T07:00:00+0000,0.0
2023-04-04T07:00:00+0000,0.0
2023-04-05T07:00:00+0000,0.0
2023-04-02T07:00:00+0000,0.0
2023-04-03T07:00:00+0000,0.0
2023-03-31T07:00:00+0000,0.0
2023-04-01T07:00:00+0000,0.0
2023-03-29T07:00:00+0000,0.0
2023-03-30T07:00:00+0000,0.0
2023-03-27T07:00:00+0000,0.0
2023-03-28T07:00:00+0000,0.0
2023-03-25T07:00:00+0000,0.0
2023-03-26T07:00:00+0000,0.0
2023-03-23T07:00:00+0000,0.0
2023-03-24T07:00:00+0000,0.0
2023-03-21T07:00:00+0000,0.0
2023-03-22T07:00:00+0000,0.0
2023-03-19T07:00:00+0000,0.0
2023-03-20T07:00:00+0000,0.0
2023-03-17T07:00:00+0000,0.0
2023-03-18T07:00:00+0000,0.0
2023-03-15T07:00:00+0000,0.0
2023-03-16T07:00:00+0000,0.0
2023-03-13T07:00:00+0000,0.0
2023-03-14T07:00:00+0000,0.0
2023-03-11T08:00:00+0000,0.0
2023-03-12T08:00:00+0000,0.0
2023-03-09T08:00:00+0000,0.0
2023-03-10T08:00:00+0000,0.0
2023-03-07T08:00:00+0000,0.0
2023-03-08T08:00:00+0000,0.0
2023-03-05T08:00:00+0000,0.0
2023-03-06T08:00:00+0000,0.0
2023-03-03T08:00:00+0000,0.0
2023-03-04T08:00:00+0000,0.0
2023-03-01T08:00:00+0000,0.0
2023-03-02T08:00:00+0000,0.0
2023-02-27T08:00:00+0000,0.0
2023-02-28T08:00:00+0000,0.0
2023-02-25T08:00:00+0000,0.0
2023-02-26T08:00:00+0000,0.0
2023-02-23T08:00:00+0000,0.0
2023-02-24T08:00:00+0000,0.0
2023-02-21T08:00:00+0000,0.0
2023-02-22T08:00:00+0000,0.0
2023-02-19T08:00:00+0000,0.0
2023-02-20T08:00:00+0000,0.0
2023-02-17T08:00:00+0000,0.0
2023-02-18T08:00:00+0000,0.0
2023-02-15T08:00:00+0000,0.0
2023-02-16T08:00:00+0000,0.0
2023-02-13T08:00:00+0000,0.0
2023-02-14T08:00:00+0000,0.0
2023-02-11T08:00:00+0000,0.0
2023-02-12T08:00:00+0000,0.0
2023-02-09T08:00:00+0000,0.0
2023-02-10T08:00:00+0000,0.0
2023-02-07T08:00:00+0000,0.0
2023-02-08T08:00:00+0000,0.0
2023-02-05T08:00:00+0000,0.0
2023-02-06T08:00:00+0000,0.0
2023-02-03T08:00:00+0000,0.0
2023-02-04T08:00:00+0000,0.0
2023-02-01T08:00:00+0000,0.0
2023-02-02T08:00:00+0000,0.0
2023-01-30T08:00:00+0000,0.0
2023-01-31T08:00:00+0000,0.0
2023-01-28T08:00:00+0000,0.0
2023-01-29T08:00:00+0000,0.0
2023-01-26T08:00:00+0000,0.0
2023-01-27T08:00:00+0000,0.0
2023-01-24T08:00:00+0000,0.0
2023-01-25T08:00:00+0000,0.0
2023-01-22T08:00:00+0000,0.0
2023-01-23T08:00:00+0000,0.0
2023-01-20T08:00:00+0000,0.0
2023-01-21T08:00:00+0000,0.0
2023-01-18T08:00:00+0000,0.0
2023-01-19T08:00:00+0000,0.0
2023-01-16T08:00:00+0000,0.0
2023-01-17T08:00:00+0000,0.0
2023-01-14T08:00:00+0000,0.0
2023-01-15T08:00:00+0000,0.0
2023-01-12T08:00:00+0000,0.0
2023-01-13T08:00:00+0000,0.0
2023-01-10T08:00:00+0000,0.0
2023-01-11T08:00:00+0000,0.0
2023-01-08T08:00:00+0000,0.0
2023-01-09T08:00:00+0000,0.0
2023-01-06T08:00:00+0000,0.0
2023-01-07T08:00:00+0000,0.0
2023-01-04T08:00:00+0000,0.0
2023-01-05T08:00:00+0000,0.0
2023-01-02T08:00:00+0000,0.0
2023-01-03T08:00:00+0000,0.0
2022-12-31T08:00:00+0000,0.0
2023-01-01T08:00:00+0000,0.0
2022-12-29T08:00:00+0000,0.0
2022-12-30T08:00:00+0000,0.0
2022-12-27T08:00:00+0000,0.0
2022-12-28T08:00:00+0000,0.0
2022-12-25T08:00:00+0000,0.0
2022-12-26T08:00:00+0000,0.0
2022-12-23T08:00:00+0000,0.0
2022-12-24T08:00:00+0000,0.0
2022-12-21T08:00:00+0000,0.0
2022-12-22T08:00:00+0000,0.0
2022-12-19T08:00:00+0000,0.0
2022-12-20T08:00:00+0000,0.0
2022-12-17T08:00:00+0000,0.0
2022-12-18T08:00:00+0000,0.0
2022-12-15T08:00:00+0000,0.0
2022-12-16T08:00:00+0000,0.0
2022-12-13T08:00:00+0000,0.0
2022-12-14T08:00:00+0000,0.0
2022-12-11T08:00:00+0000,0.0
2022-12-12T08:00:00+0000,0.0
2022-12-09T08:00:00+0000,0.0
2022-12-10T08:00:00+0000,0.0
2022-12-07T08:00:00+0000,0.0
2022-12-08T08:00:00+0000,0.0
2022-12-05T08:00:00+0000,0.0
2022-12-06T08:00:00+0000,0.0
2022-12-03T08:00:00+0000,0.0
2022-12-04T08:00:00+0000,0.0
2022-12-01T08:00:00+0000,0.0
2022-12-02T08:00:00+0000,0.0
2022-11-29T08:00:00+0000,0.0
2022-11-30T08:00:00+0000,0.0
2022-11-27T08:00:00+0000,0.0
2022-11-28T08:00:00+0000,0.0
2022-11-25T08:00:00+0000,0.0
2022-11-26T08:00:00+0000,0.0
2022-11-23T08:00:00+0000,0.0
2022-11-24T08:00:00+0000,0.0
2022-11-21T08:00:00+0000,0.0
2022-11-22T08:00:00+0000,0.0
2022-11-19T08:00:00+0000,0.0
2022-11-20T08:00:00+0000,0.0
2022-11-17T08:00:00+0000,0.0
2022-11-18T08:00:00+0000,0.0
2022-11-15T08:00:00+0000,0.0
2022-11-16T08:00:00+0000,0.0
2022-11-13T08:00:00+0000,0.0
2022-11-14T08:00:00+0000,0.0
2022-11-11T08:00:00+0000,0.0
2022-11-12T08:00:00+0000,0.0
2022-11-09T08:00:00+0000,0.0
2022-11-10T08:00:00+0000,0.0
2022-11-07T08:00:00+0000,0.0
2022-11-08T08:00:00+0000,0.0
2022-11-05T07:00:00+0000,0.0
2022-11-06T07:00:00+0000,0.0
2022-11-03T07:00:00+0000,0.0
2022-11-04T07:00:00+0000,0.0
2022-11-01T07:00:00+0000,0.0
2022-11-02T07:00:00+0000,0.0
2022-10-30T07:00:00+0000,0.0
2022-10-31T07:00:00+0000,0.0
2022-10-28T07:00:00+0000,0.0
2022-10-29T07:00:00+0000,0.0
2022-10-26T07:00:00+0000,0.0
2022-10-27T07:00:00+0000,0.0
2022-10-24T07:00:00+0000,0.0
2022-10-25T07:00:00+0000,0.0
2022-10-22T07:00:00+0000,0.0
2022-10-23T07:00:00+0000,0.0
2022-10-20T07:00:00+0000,0.0
2022-10-21T07:00:00+0000,0.0
2022-10-18T07:00:00+0000,0.0
2022-10-19T07:00:00+0000,0.0
2022-10-16T07:00:00+0000,0.0
2022-10-17T07:00:00+0000,0.0
2022-10-14T07:00:00+0000,0.0
2022-10-15T07:00:00+0000,0.0
2022-10-12T07:00:00+0000,0.0
2022-10-13T07:00:00+0000,0.0
2022-10-10T07:00:00+0000,0.0
2022-10-11T07:00:00+0000,0.0
2022-10-08T07:00:00+0000,0.0
2022-10-09T07:00:00+0000,0.0
2022-10-06T07:00:00+0000,0.0
2022-10-07T07:00:00+0000,0.0
2022-10-04T07:00:00+0000,0.0
2022-10-05T07:00:00+0000,0.0
2022-10-02T07:00:00+0000,0.0
2022-10-03T07:00:00+0000,0.0
2022-09-30T07:00:00+0000,0.0
2022-10-01T07:00:00+0000,0.0
2022-09-28T07:00:00+0000,0.0
2022-09-29T07:00:00+0000,0.0
2022-09-26T07:00:00+0000,0.0
2022-09-27T07:00:00+0000,0.0
2022-09-24T07:00:00+0000,0.0
2022-09-25T07:00:00+0000,0.0
2022-09-22T07:00:00+0000,0.0
2022-09-23T07:00:00+0000,0.0
2022-09-20T07:00:00+0000,0.0
2022-09-21T07:00:00+0000,0.0
2022-09-18T07:00:00+0000,0.0
2022-09-19T07:00:00+0000,0.0
2022-09-16T07:00:00+0000,0.0
2022-09-17T07:00:00+0000,0.0
2022-09-14T07:00:00+0000,0.0
2022-09-15T07:00:00+0000,0.0
2022-09-12T07:00:00+0000,0.0
2022-09-13T07:00:00+0000,0.0
2022-09-10T07:00:00+0000,0.0
2022-09-11T07:00:00+0000,0.0
2022-09-08T07:00:00+0000,0.0
2022-09-09T07:00:00+0000,0.0
2022-09-06T07:00:00+0000,0.0
2022-09-07T07:00:00+0000,0.0
2022-09-04T07:00:00+0000,0.0
2022-09-05T07:00:00+0000,0.0
2022-09-02T07:00:00+0000,0.0
2022-09-03T07:00:00+0000,0.0
2022-08-31T07:00:00+0000,0.0
2022-09-01T07:00:00+0000,0.0
2022-08-29T07:00:00+0000,0.0
2022-08-30T07:00:00+0000,0.0
2022-08-27T07:00:00+0000,0.0
2022-08-28T07:00:00+0000,0.0
2022-08-25T07:00:00+0000,0.0
2022-08-26T07:00:00+0000,0.0
2022-08-23T07:00:00+0000,0.0
2022-08-24T07:00:00+0000,0.0
2022-08-21T07:00:00+0000,0.0
2022-08-22T07:00:00+0000,0.0
2022-08-19T07:00:00+0000,0.0
2022-08-20T07:00:00+0000,0.0
2022-08-17T07:00:00+0000,0.0
2022-08-18T07:00:00+0000,0.0
2022-08-15T07:00:00+0000,0.0
2022-08-16T07:00:00+0000,0.0
2022-08-13T07:00:00+0000,0.0
2022-08-14T07:00:00+0000,0.0
2022-08-11T07:00:00+0000,0.0
2022-08-12T07:00:00+0000,0.0
2022-08-09T07:00:00+0000,0.0
2022-08-10T07:00:00+0000,0.0
2022-08-07T07:00:00+0000,0.0
2022-08-08T07:00:00+0000,0.0
2022-08-05T07:00:00+0000,0.0
2022-08-06T07:00:00+0000,0.0
2022-08-03T07:00:00+0000,0.0
2022-08-04T07:00:00+0000,0.0
2022-08-01T07:00:00+0000,0.0
2022-08-02T07:00:00+0000,0.0
2022-07-30T07:00:00+0000,0.0
2022-07-31T07:00:00+0000,0.0
2022-07-28T07:00:00+0000,0.0
2022-07-29T07:00:00+0000,0.0
2022-07-26T07:00:00+0000,0.0
2022-07-27T07:00:00+0000,0.0
2022-07-24T07:00:00+0000,0.0
2022-07-25T07:00:00+0000,0.0
2022-07-22T07:00:00+0000,0.0
2022-07-23T07:00:00+0000,0.0
2022-07-20T07:00:00+0000,0.0
2022-07-21T07:00:00+0000,0.0
2022-07-18T07:00:00+0000,0.0
2022-07-19T07:00:00+0000,0.0
2022-07-16T07:00:00+0000,0.0
2022-07-17T07:00:00+0000,0.0
2022-07-14T07:00:00+0000,0.0
2022-07-15T07:00:00+0000,0.0
2022-07-12T07:00:00+0000,0.0
2022-07-13T07:00:00+0000,0.0
2022-07-10T07:00:00+0000,0.0
2022-07-11T07:00:00+0000,0.0
2022-07-08T07:00:00+0000,0.0
2022-07-09T07:00:00+0000,0.0
2022-07-06T07:00:00+0000,0.0
2022-07-07T07:00:00+0000,0.0
2022-07-04T07:00:00+0000,0.0
2022-07-05T07:00:00+0000,0.0
2022-07-02T07:00:00+0000,0.0
2022-07-03T07:00:00+0000,0.0
2022-06-30T07:00:00+0000,0.0
2022-07-01T07:00:00+0000,0.0
2022-06-28T07:00:00+0000,0.0
